Survived,FirstClass,SecondClass,ThirdClass,Sex,Age,SibSp,Parch,Fare
0,0,0,1,0,0.275,0.2,0.0,0.0141510575622
1,1,0,0,1,0.475,0.2,0.0,0.139135735383
1,0,0,1,1,0.325,0.0,0.0,0.015468569818
1,1,0,0,1,0.4375,0.2,0.0,0.103644297456
0,0,0,1,0,0.4375,0.0,0.0,0.0157125535691
0,1,0,0,0,0.675,0.0,0.0,0.10122885832
0,0,0,1,0,0.025,0.6,0.166666666667,0.0411356604308
1,0,0,1,1,0.3375,0.0,0.333333333333,0.0217307543665
1,0,1,0,1,0.175,0.2,0.0,0.058694292654
1,0,0,1,1,0.05,0.2,0.166666666667,0.0325962291433
1,1,0,0,1,0.725,0.0,0.0,0.0518221487278
0,0,0,1,0,0.25,0.0,0.0,0.0157125535691
0,0,0,1,0,0.4875,0.2,0.833333333333,0.0610447345184
0,0,0,1,1,0.175,0.0,0.0,0.0153303774214
1,0,1,0,1,0.6875,0.0,0.0,0.0312299201373
0,0,0,1,0,0.025,0.8,0.166666666667,0.0568482139999
0,0,0,1,1,0.3875,0.2,0.0,0.0351336601544
0,0,1,0,0,0.4375,0.0,0.0,0.0507486202231
1,0,1,0,0,0.425,0.0,0.0,0.0253743101115
1,0,0,1,1,0.1875,0.0,0.0,0.0156719546729
1,1,0,0,0,0.35,0.0,0.0,0.0692913853046
0,0,0,1,1,0.1,0.6,0.166666666667,0.0411356604308
1,0,0,1,1,0.475,0.2,0.833333333333,0.0612643198943
0,1,0,0,0,0.2375,0.6,0.333333333333,0.513341812257
0,1,0,0,0,0.5,0.0,0.0,0.0541073981339
0,0,1,0,0,0.825,0.0,0.0,0.0204946350901
0,1,0,0,0,0.35,0.2,0.0,0.160386720101
0,1,0,0,0,0.525,0.2,0.0,0.101497240446
0,0,0,1,0,0.2625,0.0,0.0,0.0157125535691
0,0,0,1,1,0.225,0.4,0.0,0.0351336601544
1,0,0,1,1,0.175,0.2,0.0,0.0219423370755
0,0,0,1,1,0.5,0.2,0.0,0.0184939683313
0,0,1,0,1,0.3375,0.2,0.0,0.0409892701802
1,0,1,0,1,0.0375,0.2,0.333333333333,0.0811571934608
1,0,0,1,1,0.2375,0.0,0.0,0.0153791741716
0,0,0,1,1,0.225,0.2,0.0,0.0347432861527
0,0,0,1,0,0.0875,0.8,0.166666666667,0.0774648409655
0,0,0,1,0,0.2625,0.0,0.0,0.0152245860669
1,1,0,0,1,0.6125,0.2,0.0,0.149765424262
1,0,1,0,1,0.3625,0.2,0.0,0.0507486202231
0,1,0,0,0,0.8125,0.0,0.166666666667,0.120975341636
1,0,1,0,1,0.2625,0.0,0.0,0.0204946350901
0,0,0,1,0,0.35625,0.0,0.0,0.014110458666
1,0,1,0,1,0.0625,0.2,0.333333333333,0.0541643927381
0,0,0,1,0,0.1375,1.0,0.333333333333,0.0915427034024
0,0,0,1,0,0.275,0.0,0.0,0.014110458666
1,1,0,0,1,0.475,0.0,0.0,0.156149600686
0,1,0,0,0,0.5625,0.2,0.0,0.162932348966
0,0,0,1,0,0.05,0.6,0.333333333333,0.0544571732394
1,0,1,0,1,0.3625,0.0,0.0,0.0204946350901
0,0,0,1,0,0.2375,0.0,0.0,0.015923941091
1,0,0,1,1,0.2125,0.8,0.333333333333,0.015468569818
0,0,0,1,0,0.325,0.4,0.0,0.0169080739493
0,0,1,0,0,0.4,0.0,0.0,0.0204946350901
0,0,0,1,1,0.2,1.0,0.333333333333,0.0915427034024
0,0,1,0,0,0.2625,0.0,0.0,0.143462445631
0,0,0,1,0,0.325,0.2,0.0,0.028212719478
1,0,0,1,0,0.4,0.0,0.0,0.110272457631
0,0,0,1,0,0.3125,0.0,0.0,0.0149318055656
1,0,1,0,0,0.010375,0.0,0.333333333333,0.0566042302488
1,0,0,1,1,0.375,0.0,0.0,0.024349578357
0,0,0,1,0,0.275,0.0,0.0,0.0175668300772
1,0,0,1,0,0.3625,0.0,0.0,0.0185427650815
0,1,0,0,0,0.35,0.0,0.0,0.0919330774041
1,0,1,0,1,0.2125,0.0,0.0,0.0204946350901
1,0,0,1,1,0.4125,0.6,0.0,0.030937139636
0,0,0,1,0,0.2,0.2,0.5,0.067095531545
1,1,0,0,1,0.2875,0.6,0.333333333333,0.513341812257
0,0,0,1,0,0.3,0.0,0.0,0.0157125535691
0,0,0,1,0,0.3625,0.0,0.0,0.0157125535691
0,0,0,1,0,0.25,0.0,0.0,0.0153303774214
0,1,0,0,0,0.575,0.2,0.0,0.119405647775
0,0,0,1,0,0.325,0.2,0.333333333333,0.0401597254265
0,0,0,1,0,0.7375,0.0,0.0,0.0141510575622
0,1,0,0,0,0.8875,0.0,0.0,0.0676404936513
1,1,0,0,0,0.2875,0.0,0.166666666667,0.123667165565
1,0,1,0,1,0.425,0.0,0.166666666667,0.0448930101973
0,0,1,0,0,0.425,0.2,0.0,0.0507486202231
0,0,0,1,1,0.35,0.0,0.0,0.0154115752137
0,1,0,0,0,0.2625,0.0,0.166666666667,0.150855153288
0,0,0,1,0,0.4125,0.0,0.0,0.0168918734283
0,0,0,1,0,0.4625,0.4,0.0,0.015468569818
0,0,0,1,0,0.35,0.0,0.0,0.0154115752137
